probe,gene
1_at,A1BG
2_at,A2M
3_at,A2MP1
9_at,NAT1
10_at,NAT2
12_at,SERPINA3
13_at,AADAC
14_at,AAMP
15_at,AANAT
16_at,AARS
18_at,ABAT
19_at,ABCA1
20_at,ABCA2
21_at,ABCA3
22_at,ABCB7
23_at,ABCF1
24_at,ABCA4
25_at,ABL1
26_at,AOC1
27_at,ABL2
28_at,ABO
29_at,ABR
30_at,ACAA1
31_at,ACACA
32_at,ACACB
33_at,ACADL
34_at,ACADM
35_at,ACADS
36_at,ACADSB
37_at,ACADVL
38_at,ACAT1
39_at,ACAT2
40_at,ASIC2
41_at,ASIC1
43_at,ACHE
47_at,ACLY
48_at,ACO1
49_at,ACR
50_at,ACO2
51_at,ACOX1
52_at,ACP1
53_at,ACP2
54_at,ACP5
55_at,ACPP
56_at,ACRV1
58_at,ACTA1
59_at,ACTA2
60_at,ACTB
70_at,ACTC1
71_at,ACTG1
72_at,ACTG2
81_at,ACTN4
86_at,ACTL6A
87_at,ACTN1
88_at,ACTN2
89_at,ACTN3
90_at,ACVR1
91_at,ACVR1B
92_at,ACVR2A
93_at,ACVR2B
94_at,ACVRL1
97_at,ACYP1
98_at,ACYP2
100_at,ADA
101_at,ADAM8
102_at,ADAM10
103_at,ADAR
104_at,ADARB1
105_at,ADARB2
107_at,ADCY1
108_at,ADCY2
109_at,ADCY3
111_at,ADCY5
112_at,ADCY6
113_at,ADCY7
114_at,ADCY8
115_at,ADCY9
116_at,ADCYAP1
117_at,ADCYAP1R1
118_at,ADD1
119_at,ADD2
120_at,ADD3
123_at,PLIN2
124_at,ADH1A
125_at,ADH1B
126_at,ADH1C
127_at,ADH4
128_at,ADH5
130_at,ADH6
131_at,ADH7
132_at,ADK
133_at,ADM
134_at,ADORA1
135_at,ADORA2A
136_at,ADORA2B
140_at,ADORA3
141_at,ADPRH
142_at,PARP1
143_at,PARP4
146_at,ADRA1D
147_at,ADRA1B
148_at,ADRA1A
150_at,ADRA2A
151_at,ADRA2B
152_at,ADRA2C
153_at,ADRB1
154_at,ADRB2
155_at,ADRB3
156_at,GRK2
157_at,GRK3
158_at,ADSL
159_at,ADSS
160_at,AP2A1
161_at,AP2A2
162_at,AP1B1
163_at,AP2B1
164_at,AP1G1
165_at,AEBP1
166_at,TLE5
167_at,CRISP1
172_at,AFG3L1P
173_at,AFM
174_at,AFP
175_at,AGA
176_at,ACAN
177_at,AGER
178_at,AGL
181_at,AGRP
182_at,JAG1
183_at,AGT
185_at,AGTR1
186_at,AGTR2
187_at,APLNR
189_at,AGXT
190_at,NR0B1
191_at,AHCY
196_at,AHR
197_at,AHSG
199_at,AIF1
202_at,CRYBG1
203_at,AK1
204_at,AK2
205_at,AK4
207_at,AKT1
208_at,AKT2
210_at,ALAD
211_at,ALAS1
212_at,ALAS2
213_at,ALB
214_at,ALCAM
215_at,ABCD1
216_at,ALDH1A1
217_at,ALDH2
218_at,ALDH3A1
219_at,ALDH1B1
220_at,ALDH1A3
221_at,ALDH3B1
222_at,ALDH3B2
223_at,ALDH9A1
224_at,ALDH3A2
225_at,ABCD2
226_at,ALDOA
229_at,ALDOB
230_at,ALDOC
231_at,AKR1B1
238_at,ALK
239_at,ALOX12
240_at,ALOX5
241_at,ALOX5AP
242_at,ALOX12B
245_at,ALOX12P2
246_at,ALOX15
247_at,ALOX15B
248_at,ALPI
249_at,ALPL
250_at,ALPP
251_at,ALPG
257_at,ALX3
258_at,AMBN
259_at,AMBP
262_at,AMD1
265_at,AMELX
266_at,AMELY
267_at,AMFR
268_at,AMH
269_at,AMHR2
270_at,AMPD1
271_at,AMPD2
272_at,AMPD3
273_at,AMPH
274_at,BIN1
275_at,AMT
280_at,AMY2B
283_at,ANG
284_at,ANGPT1
285_at,ANGPT2
286_at,ANK1
287_at,ANK2
288_at,ANK3
290_at,ANPEP
291_at,SLC25A4
292_at,SLC25A5
293_at,SLC25A6
301_at,ANXA1
302_at,ANXA2
303_at,ANXA2P1
304_at,ANXA2P2
305_at,ANXA2P3
306_at,ANXA3
307_at,ANXA4
308_at,ANXA5
309_at,ANXA6
310_at,ANXA7
311_at,ANXA11
312_at,ANXA13
313_at,AOAH
314_at,AOC2
316_at,AOX1
317_at,APAF1
318_at,NUDT2
319_at,APOF
320_at,APBA1
321_at,APBA2
322_at,APBB1
323_at,APBB2
324_at,APC
325_at,APCS
326_at,AIRE
327_at,APEH
328_at,APEX1
329_at,BIRC2
330_at,BIRC3
331_at,XIAP
332_at,BIRC5
333_at,APLP1
334_at,APLP2
335_at,APOA1
336_at,APOA2
337_at,APOA4
338_at,APOB
339_at,APOBEC1
341_at,APOC1
342_at,APOC1P1
343_at,AQP8
345_at,APOC3
347_at,APOD
348_at,APOE
350_at,APOH
351_at,APP
353_at,APRT
354_at,KLK3
355_at,FAS
356_at,FASLG
357_at,SHROOM2
358_at,AQP1
359_at,AQP2
360_at,AQP3
361_at,AQP4
362_at,AQP5
363_at,AQP6
364_at,AQP7
366_at,AQP9
367_at,AR
368_at,ABCC6
369_at,ARAF
372_at,ARCN1
373_at,TRIM23
375_at,ARF1
377_at,ARF3
378_at,ARF4
379_at,ARL4D
381_at,ARF5
382_at,ARF6
383_at,ARG1
384_at,ARG2
387_at,RHOA
388_at,RHOB
389_at,RHOC
390_at,RND3
391_at,RHOG
392_at,ARHGAP1
393_at,ARHGAP4
394_at,ARHGAP5
395_at,ARHGAP6
396_at,ARHGDIA
397_at,ARHGDIB
398_at,ARHGDIG
399_at,RHOH
400_at,ARL1
401_at,PHOX2A
402_at,ARL2
403_at,ARL3
405_at,ARNT
406_at,ARNTL
